title,location,seniority_level,employment_type,industries,company_name,time_posted,num_applicants,inferred_skills,skills_combined
Power BI Developer,"Pune, Maharashtra, India",Mid-Senior level,Full-time,IT Services and IT Consulting,Infosys,2025-05-02,0,"['Power Bi', 'Sql', 'Data Visualization', 'Business Intelligence']",Power Bi Sql Data Visualization Business Intelligence
PowerBI Developer,"Bengaluru, Karnataka, India",Entry level,Full-time,Pharmaceutical Manufacturing,In Time Tec,2025-05-02,0,"['Power Bi', 'Sql', 'Data Visualization', 'Business Intelligence']",Power Bi Sql Data Visualization Business Intelligence
Power BI Developer - Assistant Manager,"Pune, Maharashtra, India",Mid-Senior level,Full-time,Business Consulting and Services,Kpmg India,2025-05-01,0,"['Power Bi', 'Sql', 'Data Visualization', 'Reporting', 'Business Intelligence']",Power Bi Sql Data Visualization Reporting Business Intelligence
Business Intelligence Developer(Tableau),"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,IT Services and IT Consulting,Ltimindtree,2025-05-02,0,"['Tableau', 'Sql', 'Data Analysis', 'Business Intelligence']",Tableau Sql Data Analysis Business Intelligence
Python with Power BI,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Computers and Electronics Manufacturing,Harman India,2025-05-01,0,"['Python', 'Power Bi', 'Data Analysis', 'Data Visualization']",Python Power Bi Data Analysis Data Visualization
Power BI Developer - Assistant Manager,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Business Consulting and Services,Kpmg India,2025-05-02,0,"['Power Bi', 'Sql', 'Data Visualization', 'Reporting', 'Business Intelligence']",Power Bi Sql Data Visualization Reporting Business Intelligence
Data Engineer,Not Specified,Not Specified,Not Specified,Not Specified,Atlassian,2025-05-01,0,"['Sql', 'Data Engineering', 'Etl', 'Python', 'Data Pipelines']",Sql Data Engineering Etl Python Data Pipelines
"Associate, Data Engineer",Not Specified,Not Specified,Not Specified,Not Specified,Bain & Company,2025-05-04,0,"['Sql', 'Data Engineering', 'Etl', 'Python', 'Data Pipelines']",Sql Data Engineering Etl Python Data Pipelines
Data Engineer,Not Specified,Not Specified,Not Specified,Not Specified,Meesho,2025-05-02,0,"['Sql', 'Data Engineering', 'Etl', 'Python', 'Data Pipelines']",Sql Data Engineering Etl Python Data Pipelines
Data Engineer,Not Specified,Not Specified,Not Specified,Not Specified,Atlassian,2025-05-01,0,"['Sql', 'Data Engineering', 'Etl', 'Python', 'Data Pipelines']",Sql Data Engineering Etl Python Data Pipelines
Data Engineer,Not Specified,Not Specified,Not Specified,Not Specified,Capgemini,2025-05-01,0,"['Sql', 'Data Engineering', 'Etl', 'Python', 'Data Pipelines']",Sql Data Engineering Etl Python Data Pipelines
Associate Data Engineer,Not Specified,Not Specified,Not Specified,Not Specified,Atlassian,2025-05-01,0,"['Sql', 'Data Engineering', 'Etl', 'Python', 'Data Pipelines']",Sql Data Engineering Etl Python Data Pipelines
